cycle,strategy_return,cumulative_return
1,-0.0,0.0
2,0.00024087470500704165,0.00024087470500711028
3,-0.0005502242574762296,-0.0003094820875747528
4,-0.0005,-0.0008093273465309414
5,-0.0,-0.0008093273465309414
6,-0.0,-0.0008093273465309414
7,-0.001014102694816877,-0.001822609300304645
8,-0.0005,-0.0023216979956544037
9,0.00015278107500873354,-0.002169271632161185
10,0.0002387160743197643,-0.001931073397849592
11,-0.00104628518182913,-0.0029753381261975465
12,-0.0005,-0.003473850457134442
13,-0.0,-0.003473850457134442
14,-0.0012072938622102142,-0.004676950361009458
15,-0.0005,-0.005174611885828906
16,0.0,-0.005174611885828906
17,-0.0010764571260499277,-0.006245498764039792
18,-0.002141933945178663,-0.008374055263411173
19,-0.0005,-0.008869868235779399
20,0.0,-0.008869868235779399
21,-0.0,-0.008869868235779399
22,0.00007290827377672015,-0.008797606648784373
23,-0.0013185701820646928,-0.010104576569048507
24,-0.0010199961995976308,-0.01111426613894717
25,-0.0005,-0.011608709005877627
26,-0.0,-0.011608709005877627
27,-0.000584356399921136,-0.012186281782396335
28,-0.0005,-0.012680188641505108
29,0.0007848620811599513,-0.011905278759591909
30,-0.0005,-0.012399326120212106
31,0.0,-0.012399326120212106
32,0.0,-0.012399326120212106
33,-0.0014036355161128203,-0.013785557501806656
34,0.0006165308721322382,-0.013177525851463923
35,-0.0005,-0.013670937088538171
36,-0.0,-0.013670937088538171
37,-0.0,-0.013670937088538171
38,0.0002840054201224939,-0.013390814288646968
39,-0.0005,-0.013884118881502538
40,0.0,-0.013884118881502538
41,-0.0006656634193377899,-0.014540540150791204
42,-0.0005,-0.015033269880715738
43,0.00048209822129828073,-0.014558419172087222
44,1.6723484067447754e-6,-0.014556771170429639
45,-0.0005,-0.015049492784844354
46,-0.0,-0.015049492784844354
47,-0.0005423790265809983,-0.015583709282178226
48,0.0012431865764433406,-0.014359896163925745
49,-0.0005,-0.01485271621584372
50,-0.0,-0.01485271621584372
51,0.0011261268428591588,-0.013743315415404633
52,-0.0005,-0.014236443757696837
53,0.0,-0.014236443757696837
54,-0.00047789097790501686,-0.014707531267572627
55,-0.0005,-0.015200177501938805
56,-0.0,-0.015200177501938805
57,-0.0006141144147539887,-0.015804957268582
58,-0.0005,-0.016297054789947696
59,0.00009938451933093806,-0.016199289945573625
60,0.00007878198506583883,-0.01612178417272636
61,-0.0005,-0.016613723280639925
62,-0.0023384224452257856,-0.018913295822447496
63,-0.0005,-0.019403839174536253
64,-0.001741503427958578,-0.021111550750056773
65,0.00013453259101728896,-0.020979858350662184
66,-0.0005,-0.021469368421486834
67,0.0005233536327598322,-0.020957250860683452
68,-0.0005,-0.021446772235253042
69,0.0,-0.021446772235253042
70,0.0,-0.021446772235253042
71,-0.0006953854796211175,-0.02212724394087706
72,-0.001113758854596044,-0.023216358381606184
73,-0.0005263144519329804,-0.023730453728601608
