cycle,bar_timestamp,signal_timestamp,execution_timestamp,action,from_position,to_position,price,prob_up,risk_reasons,signal_delay_bars
99,1775616960000,1775616900000,1775616960000,LONG,0,1,90220.20331694624,0.33801871536321665,[],1
100,1775617020000,1775616960000,1775617020000,FLAT,1,0,90177.04691410786,0.8322906499056656,[],1
101,1775617080000,1775617020000,1775617080000,LONG,0,1,90254.19746220026,0.4284861229561224,[],1
102,1775617140000,1775617080000,1775617140000,FLAT,1,0,90283.0044351761,0.4667609193638019,[],1
104,1775617260000,1775617200000,1775617260000,SHORT,0,-1,90053.67087323869,0.6772097908779704,[],1
105,1775617320000,1775617260000,1775617320000,FLAT,-1,0,90162.33898137254,0.36181452062678626,[],1
108,1775617500000,1775617440000,1775617500000,LONG,0,1,90129.95532413875,0.6133026122893108,[],1
111,1775617680000,1775617620000,1775617680000,FLAT,1,0,90091.98780972323,0.09700257882556775,[],1
116,1775617980000,1775617920000,1775617980000,SHORT,0,-1,90006.6997249962,0.6991642353426326,[],1
117,1775618040000,1775617980000,1775618040000,FLAT,-1,0,90033.89770655677,0.8350876627111153,[],1
120,1775618220000,1775618160000,1775618220000,SHORT,0,-1,90161.55138359146,0.40233464815372844,[],1
121,1775618280000,1775618220000,1775618280000,FLAT,-1,0,90156.5251933765,0.49519378000049985,[],1
124,1775618460000,1775618400000,1775618460000,LONG,0,1,90187.07146010948,0.5925466633542296,[],1
129,1775618760000,1775618700000,1775618760000,FLAT,1,0,90076.90700150075,0.524304745650768,[],1
130,1775618820000,1775618760000,1775618820000,LONG,0,1,90113.25041819584,0.396647592434621,[],1
131,1775618880000,1775618820000,1775618880000,FLAT,1,0,90152.28210294902,0.20775933090341375,[],1
136,1775619180000,1775619120000,1775619180000,LONG,0,1,90266.107690429,0.5252004623492798,[],1
138,1775619300000,1775619240000,1775619300000,FLAT,1,0,90232.1480271303,0.19786840897007132,[],1
141,1775619480000,1775619420000,1775619480000,LONG,0,1,90091.21814581647,0.5592558175303104,[],1
145,1775619720000,1775619660000,1775619720000,FLAT,1,0,90126.19301187727,0.6705313408866774,[],1
146,1775619780000,1775619720000,1775619780000,LONG,0,1,90304.16306746384,0.7824987077482397,[],1
148,1775619900000,1775619840000,1775619900000,FLAT,1,0,90299.2460950005,0.748715283894668,[],1
149,1775619960000,1775619900000,1775619960000,LONG,0,1,90301.3469293487,0.5047316902549394,[],1
150,1775620020000,1775619960000,1775620020000,FLAT,1,0,90321.45283547246,0.4721788512241106,[],1
152,1775620140000,1775620080000,1775620140000,SHORT,0,-1,90504.4895451717,0.04945443698029062,[],1
154,1775620260000,1775620200000,1775620260000,FLAT,-1,0,90509.09120170101,0.5684773873714717,[],1
156,1775620380000,1775620320000,1775620380000,SHORT,0,-1,90415.27792226241,0.4451700140133796,[],1
157,1775620440000,1775620380000,1775620440000,FLAT,-1,0,90472.15363536676,0.2847860110448923,[],1
158,1775620500000,1775620440000,1775620500000,SHORT,0,-1,90564.61114999955,0.5711268982820065,[],1
159,1775620560000,1775620500000,1775620560000,FLAT,-1,0,90505.11441440051,0.15959412822153926,[],1
160,1775620620000,1775620560000,1775620620000,SHORT,0,-1,90506.28576128746,0.12137306743915338,[],1
162,1775620740000,1775620680000,1775620740000,FLAT,-1,0,90296.78147880883,0.6521660973291971,[],1
166,1775620980000,1775620920000,1775620980000,SHORT,0,-1,90282.76793375297,0.8678183909713345,[],1
167,1775621040000,1775620980000,1775621040000,FLAT,-1,0,90247.32032596119,0.5745598048243589,[],1
169,1775621160000,1775621100000,1775621160000,LONG,0,1,90270.07620900469,0.6603239842006307,[],1
172,1775621340000,1775621280000,1775621340000,FLAT,1,0,90139.16364921432,0.7175527319785295,[],1
173,1775621400000,1775621340000,1775621400000,LONG,0,1,90210.02588414743,0.34886067208731103,[],1
174,1775621460000,1775621400000,1775621460000,FLAT,1,0,90300.11367114488,0.21038209028958013,[],1
176,1775621580000,1775621520000,1775621580000,LONG,0,1,90323.154791994,0.5512660584940277,[],1
178,1775621700000,1775621640000,1775621700000,FLAT,1,0,90401.1583801557,0.38779417616234446,[],1
180,1775621820000,1775621760000,1775621820000,LONG,0,1,90418.68155398055,0.6914129380563657,[],1
183,1775622000000,1775621940000,1775622000000,FLAT,1,0,90563.37523428492,0.390948848553955,[],1
186,1775622180000,1775622120000,1775622180000,LONG,0,1,90514.65724967943,0.45877106179910454,[],1
187,1775622240000,1775622180000,1775622240000,FLAT,1,0,90591.7713743841,0.6549571355467125,[],1
188,1775622300000,1775622240000,1775622300000,LONG,0,1,90588.52233000864,0.3035731479789751,[],1
189,1775622360000,1775622300000,1775622360000,FLAT,1,0,90593.53020574075,0.35959866080983444,[],1
192,1775622540000,1775622480000,1775622540000,LONG,0,1,90570.10129298405,0.6323234804385477,[],1
194,1775622660000,1775622600000,1775622660000,FLAT,1,0,90532.3862726956,0.2659323699587461,[],1
196,1775622780000,1775622720000,1775622780000,SHORT,0,-1,90738.75043211044,0.2833666879193303,[],1
199,1775622960000,1775622900000,1775622960000,FLAT,-1,0,90874.44733085384,0.5719609416624346,[],1
