cycle,strategy_return,cumulative_return
1,0.0,0.0
2,0.0,0.0
3,-0.000473684370406421,-0.000473684370406402
4,-0.0005,-0.0009734475282211497
5,0.0,-0.0009734475282211497
6,0.00025268488574310016,-0.000721008617955432
7,-0.0005,-0.0012206481136464165
8,0.0,-0.0012206481136464165
9,-0.000820906589248206,-0.002040552664814954
10,-0.0005,-0.0025395323884824794
11,-0.0020040677925747446,-0.004538510785989325
12,-0.0006462896104124521,-0.005181867204034019
13,0.0012472158024776764,-0.003941114308219529
14,-0.001129378872518607,-0.005066042169504237
15,0.0002492772230303121,-0.00481802779539775
16,-0.00010465798380775734,-0.0049221815341304875
17,-0.0005,-0.005419720443363363
18,0.0,-0.005419720443363363
19,-0.0009944634018127247,-0.0064087941315471575
20,-0.0005,-0.006905589734481299
21,-0.0007044173181674203,-0.007605142635647599
22,0.0015419476940820845,-0.006074921673715705
23,0.0015872439774842078,-0.004497320079071776
24,-0.0005,-0.004995071419032215
25,0.0,-0.004995071419032215
26,-0.0002250178711016621,-0.005218965309797152
27,-0.0008941444793341228,-0.0061084432801116195
28,-0.0005,-0.0066053890584715225
29,-0.0,-0.0066053890584715225
30,0.0,-0.0066053890584715225
31,-0.0009051741800633125,-0.007504584210909826
32,-0.0005,-0.008000831918804296
33,-0.0,-0.008000831918804296
34,-0.0010764764713767205,-0.009068695682869055
35,-0.0005,-0.009564161335027577
36,0.0,-0.009564161335027577
37,-0.0016755117152839657,-0.011223648185947899
38,0.0006482105083166043,-0.010582712964327112
39,-0.00020671754593012034,-0.01078724287780397
40,0.0007248335214273151,-0.01007022831161819
41,-0.0005,-0.010565193197462297
42,0.0,-0.010565193197462297
43,0.0,-0.010565193197462297
44,0.0005953860341055542,-0.00997609753183426
45,0.0010183541185242696,-0.008967902613318368
46,-0.0005,-0.009463418662011613
47,-0.0009083308904229316,-0.010363153636934852
48,-0.0005,-0.010857972060116294
49,0.0,-0.010857972060116294
50,0.000976736856797364,-0.009891840584820066
51,-0.0011433030642972778,-0.011023834277465228
52,-0.0005,-0.01151832236032646
53,0.0007000663007901016,-0.010826319648862492
