cycle,strategy_return,cumulative_return
1,-0.0,0.0
2,0.00016257524250936598,0.0001625752425093996
3,-0.0005,-0.0003375060451118461
4,-0.0,-0.0003375060451118461
5,-0.0027867042538418435,-0.003123269769422121
6,-0.0005,-0.003621708134537327
7,-0.00009532708104438472,-0.0037166899687168797
8,-0.0001698373332682637,-0.0038858960692722544
9,0.002440806491924279,-0.0014545742977006837
10,0.00038005108386805113,-0.0010750760263710246
11,-0.0005,-0.0015745384883577573
12,-0.0,-0.0015745384883577573
13,-0.0005662332640742548,-0.002139880196364352
14,-0.0005,-0.002638810256266111
15,-0.0,-0.002638810256266111
16,0.0,-0.002638810256266111
17,0.0,-0.002638810256266111
18,0.00029518983429987437,-0.0023443993719286516
19,-0.0005,-0.002843227172242613
20,0.0,-0.002843227172242613
21,0.0,-0.002843227172242613
22,0.0001394456150041255,-0.0027041780328000975
23,-0.0005,-0.003202825943783627
24,0.0,-0.003202825943783627
25,-0.0,-0.003202825943783627
26,0.0,-0.003202825943783627
27,-0.002033147418781721,-0.005229461545264935
28,-0.0029467352912506263,-0.008160786997625902
29,-0.001281162652333833,-0.00943149435444468
30,0.0003929964651090268,-0.009042204433277634
31,0.0008092980897544865,-0.008240224182298195
32,-0.0005,-0.008736104070206974
33,-0.0016092339530729145,-0.010331279587992515
34,-0.0019477720538631676,-0.012258928664193536
35,0.0007836510505724275,-0.011484884335947854
36,0.0006183340188333501,-0.010873651811801888
37,-0.0011425762317555427,-0.012003804067444834
38,0.003275261834907295,-0.00876785783387346
39,-0.003631432373037156,-0.012367450324130558
40,-0.005363834217811226,-0.01766494758870618
41,-0.003584959947362854,-0.021186579406491268
42,0.00143812565112396,-0.01977892271867132
43,-0.0006033071552558869,-0.02037029710832783
44,-0.0005,-0.020860111959773664
45,0.0028337258854331734,-0.018085497913573945
46,0.0005102843454407855,-0.017584442314597992
47,-0.0005,-0.018075650093440587
48,0.0,-0.018075650093440587
49,0.0005161634225186787,-0.017568816660338493
50,-0.0005,-0.01806003225200825
51,0.0,-0.01806003225200825
52,-0.002243881857176064,-0.02026338953047402
53,-0.0005,-0.020753257835708694
54,-0.0,-0.020753257835708694
55,0.0022930003565649563,-0.018507844706760923
56,-0.0005,-0.018998590784407465
57,-0.0,-0.018998590784407465
58,-0.0000852462769789751,-0.01908221750225414
59,-0.0021146549549846488,-0.021156520151445535
60,-0.0005,-0.021645941891369813
61,0.001943841725204965,-0.01974417645119475
62,0.0006981114550829993,-0.019059848631863496
63,-0.003977326783463663,-0.02296136816887484
64,-0.0000938061838619684,-0.023053020434412708
65,-0.00008492281444585085,-0.023135985521481772
66,0.000116315263511466,-0.023022361326222818
67,-0.0005,-0.023510850145559647
68,0.003349966358458364,-0.0202396443441476
69,-0.00024165549614348672,-0.020476408818995373
70,-0.0005,-0.020966170614585833
71,0.0,-0.020966170614585833
72,-0.00004721004740085836,-0.021012390848078155
73,0.001989405601856618,-0.01906478741428319
74,-0.0005,-0.01955525502057598
75,0.0,-0.01955525502057598
76,0.0,-0.01955525502057598
77,0.0,-0.01955525502057598
78,-0.00034333194271,-0.0198918730195895
79,-0.0005,-0.02038192708307962
80,-0.0017514613631348303,-0.022097690288422234
81,-0.0005,-0.022586641443277933
82,-0.0009941122180700773,-0.023558300005124155
83,-0.00046635850589598927,-0.0240136718974282
84,-0.0002614364007896038,-0.02426883025026716
85,0.00035874498587950263,-0.0239187915855531
86,0.000262646648955587,-0.023662427127054686
87,-0.0005,-0.024150595913491113
88,0.0,-0.024150595913491113
89,-0.000876886522620181,-0.02500630510404156
90,-0.0005,-0.025493801951489536
91,-0.0,-0.025493801951489536
92,0.0,-0.025493801951489536
93,-0.0011162015697874599,-0.026581547299518893
94,-0.0005,-0.027068256525869083
95,-0.0,-0.027068256525869083
96,-0.0,-0.027068256525869083
97,-0.001962698243046083,-0.028977827949389523
98,-0.0005,-0.02946333903541476
99,0.0,-0.02946333903541476
100,-0.0,-0.02946333903541476
101,-0.001877527352155996,-0.03128554816264584
102,-0.0005,-0.0317699053885645
103,0.0005950248619543579,-0.031193784410178282
104,0.0006656831991516698,-0.030548866389226492
105,-0.0005,-0.031033591956031836
106,0.0,-0.031033591956031836
107,0.0,-0.031033591956031836
108,-0.0,-0.031033591956031836
109,0.0,-0.031033591956031836
110,-0.0013463015550602279,-0.0323381129379825
111,-0.0005,-0.03282194388151349
112,0.0,-0.03282194388151349
113,-0.0009143149312916633,-0.03370624921944032
114,-0.0005,-0.034189396094830515
115,-0.0,-0.034189396094830515
116,-0.00036637155560978127,-0.034543241628207655
117,-0.0005,-0.03502597000739349
118,-0.0,-0.03502597000739349
119,-0.0015615160277798054,-0.03653279242161822
120,0.0013300486056847015,-0.03525133420555571
121,-0.0008612811347431333,-0.036082254031173044
122,0.0012280293689625867,-0.03489853472985904
123,-0.0005,-0.03538108546249408
124,-0.0008029774293482915,-0.03615565267879017
125,0.00044945652129161316,-0.035722446551376574
126,-0.00020663701619997012,-0.03592170198780975
127,-0.0008094928514245147,-0.03670211647826416
128,-0.0002855690910548765,-0.03697720457927656
129,0.0009051409289753666,-0.036105533231605036
130,-0.0013844005629281952,-0.037439949274002626
131,0.0003048131559769034,-0.037146548307123606
132,0.004585930256295234,-0.03273096953062704
133,-0.0005,-0.03321460404586163
134,-0.0012054843246973486,-0.03438004868603062
135,0.00013678646215835246,-0.03424796494910076
136,-0.0006445257904591629,-0.03487041704287952
137,-0.0001104464760971934,-0.03497701220429428
138,0.0007650633800617044,-0.03423870845541399
139,-0.0005,-0.03472158910118628
140,-0.0004455330723598381,-0.0351516525572767
141,-0.0007332803214713813,-0.03585915686366059
142,-0.0005,-0.036341227285228705
143,0.0,-0.036341227285228705
144,-0.0006972325135258729,-0.03701312151350988
145,-0.0005,-0.03749461495275308
146,0.0,-0.03749461495275308
147,0.0005012648491885458,-0.03701214483607429
148,0.0004299347991555304,-0.0365981228459753
149,-0.0010243424476252309,-0.037584976282866056
150,-0.0010499781670771555,-0.03859549104543614
151,-0.0005,-0.03907619329991341
152,-0.0007017895104203419,-0.03975055954776874
153,-0.001173699287874578,-0.04087760363220949
154,-0.0036462110977118645,-0.04437476635790971
155,-0.0011498239532001255,-0.045473567141833926
156,-0.00030062045287771794,-0.04576051731036346
157,-0.0006580127769471726,-0.046388419082240784
158,-0.0010054550213729082,-0.047347232634713965
159,0.00007164915039440056,-0.04727897587331131
160,0.0026309878995183743,-0.04477237838721726
161,0.0009471614275482137,-0.04386762362949703
162,0.0008215334373777889,-0.04308212891174923
163,-0.0005,-0.04356058784729333
164,0.0,-0.04356058784729333
165,-0.0,-0.04356058784729333
166,0.0,-0.04356058784729333
167,-0.0,-0.04356058784729333
168,-0.0015681351175262897,-0.045060414077276234
169,0.0008634731537666675,-0.044235849381362935
170,-0.0005,-0.044713731456672234
171,-0.0011541835837968828,-0.04581630718565155
172,-0.0005,-0.046293399032058646
173,0.0,-0.046293399032058646
174,0.00037891052286150235,-0.04593202956522935
175,0.0003908488810718794,-0.045559133166518495
176,-0.0005,-0.04603635359993519
177,-0.0015270490957955802,-0.04749310292359232
178,0.0010124504036119852,-0.04652873693120407
179,-0.0005,-0.04700547256273846
180,-0.0,-0.04700547256273846
181,-0.0,-0.04700547256273846
182,-0.004038187568724939,-0.05085384321649855
