cycle,equity
1,10000.0
2,9994.759024152174
3,9993.016276764842
4,9989.959622962293
5,10000.46067915957
6,10012.43967948776
7,10019.256211135073
8,10026.689177199885
9,10031.58723105858
10,10026.355182795156
11,10027.492648705645
12,10025.736162119516
13,10035.228040282022
14,10038.686560591266
15,10033.827327660676
16,10028.810413996845
17,10029.334527372526
18,10027.852951999228
19,10010.217624929272
20,10010.156586080937
21,10015.43672867912
22,10016.611192988163
23,10015.681408838605
24,10016.677148638548
25,10016.72493021349
26,10027.9406134659
27,10035.363335110282
28,10036.346500036652
29,10037.456074191197
30,10041.744057880322
31,10042.947395742933
32,10037.925922045062
33,10025.650564564507
34,10020.637739282225
35,10012.26702210644
36,10007.260888595387
37,9997.533160422918
38,9994.365170807283
39,9987.326706143383
40,9981.4960637379
41,9976.652853969437
42,9977.22898657
43,9975.098600920322
44,9966.514608547235
45,9971.448196218895
46,9976.197882822673
47,9974.56832932329
48,9971.095867499607
49,9977.386084149619
50,9977.775817434176
51,9978.317187200726
52,9995.565462626768
53,9997.099456811284
54,9998.14191086392
55,9999.207970142812
56,9987.816665475631
57,9997.205598096609
58,10003.516359198406
59,10023.939016825201
60,10027.546225518916
61,10030.47943938728
62,10025.464199667587
63,10011.474007363156
64,10004.464645821092
65,10003.649180567798
66,10006.37764697164
67,9998.061997362436
68,9998.018092869073
69,10004.279223348687
70,10017.63438210342
71,10020.926021032015
72,10014.749539821214
73,9996.52149412993
74,9995.834987699916
75,10001.677153353101
76,10010.835719151777
77,10006.269292734885
78,10020.008932234863
79,10015.451070102106
80,10008.778636473293
81,10005.12816201648
82,10006.664158649572
83,10001.996931881984
84,10000.44608892387
85,10006.391764396743
86,9991.553044085442
87,9994.128801269744
88,9987.802071944743
89,10006.66822130671
90,9996.37195015703
91,9984.566032816865
92,9984.13100885968
93,9979.52297704156
94,9974.919090025727
95,9979.78365922008
96,9975.269514743375
97,9981.440482234158
98,9986.040047423157
99,9976.945765561786
100,9969.06106821471
101,9974.423345722053
102,9980.002727002178
103,9984.891943063685
104,9978.911346602566
105,9986.59203096462
106,9983.577592820979
107,9977.485662955769
108,9977.981670408119
109,9969.816838344348
110,9972.01399402157
111,9973.499174259363
112,9980.996670710541
113,9972.773234414895
114,9978.611093932555
115,9975.653796396433
116,9976.016302006452
117,9984.110535187114
118,9988.714060302582
119,9977.59574162683
120,9975.806503926631
121,9983.556975407375
122,9980.94883638872
123,9981.901273737843
124,9976.910323100976
125,9969.474752223434
126,9972.272727567382
127,9960.879663439924
128,9975.157491585174
129,9974.214665733949
130,9958.287120062056
131,9959.002073864496
132,9972.430771533844
133,9975.350024503256
134,9963.681330081161
135,9960.521395765
136,9966.920929577513
137,9972.115747995826
138,9976.324719933385
139,9973.278020683658
140,9962.529267375487
141,9954.043416713297
142,9950.257675730467
143,9960.521038485296
144,9970.765806682837
145,9966.365044972665
146,9976.753769748819
147,9978.331946873886
148,9975.73446006424
149,9984.496280449424
150,9992.372609583976
151,9992.915736641222
152,9988.738987131112
153,9980.158974677046
154,9975.171918973789
155,9974.391942656706
156,9980.070680421892
157,9988.31097996139
158,9992.14169037047
159,9988.705310557696
160,9985.848804431873
161,10002.20143339862
162,10008.207800142267
163,9998.479491048893
164,9997.653783641756
165,10008.639534360867
166,9989.794576152546
167,9989.823186568849
168,9986.589718564166
169,9983.237411284324
170,9985.93651791976
171,9991.475011348803
172,9974.513858361475
173,9966.40594678806
174,9959.7328954311
175,9954.998223470355
176,9962.686691031196
177,9952.427328383928
178,9958.855264190668
179,9956.427033445627
180,9969.114562256304
181,9984.97553806177
182,9982.26474804636
183,9988.44373761773
184,10003.928217810444
185,9999.454646552647
186,9982.492562610454
187,9971.328367309574
188,9973.15575616589
189,9972.8865990779
190,9965.690681366117
191,9956.652875077958
192,9959.155595486813
193,9958.687500235506
194,9956.122950486606
195,9951.566361657671
196,9952.413506315688
197,9953.158589185823
198,9942.10377625115
199,9932.400309504494
200,9928.454830055382
