cycle,strategy_return,cumulative_return
1,0.0,0.0
2,0.0005935629806432985,0.0005935629806432807
3,-0.0005,0.00009326619915306367
4,0.00012481571961927217,0.000218093559860133
5,-0.0011025563417793433,-0.000884703242356788
6,-0.0005,-0.0013842608907355114
7,-0.0012727728845664745,-0.002655271925575131
8,0.0005949285177766923,-0.002061923104789476
9,0.00015482701844833345,-0.0019074153277476302
10,-0.0010779234452667698,-0.002983282725312786
11,-0.000129099594209166,-0.003111997178932735
12,-0.0011596758009210979,-0.004268064072032951
13,-0.000021993383717044563,-0.004289963586579071
14,-0.0012869154912802411,-0.005571358257262737
15,0.00043786955667319714,-0.005135928228759745
16,0.00031864122990201126,-0.004818923517345142
17,0.001528446194766557,-0.0032978427878914696
18,0.0006900578791673514,-0.002610060611124232
19,-0.00031405293714877085,-0.0029232938510719286
20,0.0006664973844276543,-0.002258744834349846
21,-0.0010835669828203147,-0.003339864315844987
22,-0.0007400793629831331,-0.004077471914172848
23,0.00028322270031688935,-0.0037954040464619476
24,-0.001683598389069893,-0.005472612499393348
25,-9.356976320822778e-6,-0.005481918268608665
26,-0.0007856991774026559,-0.006263310307337067
27,0.00010003757699568455,-0.006163899296728448
28,-0.0005,-0.006660817347080017
29,0.0,-0.006660817347080017
30,-0.00046473071335617123,-0.007122452574038984
31,0.0011269235760642702,-0.006003555457699816
32,-0.0005,-0.006500553679970933
33,-0.0010870554314103848,-0.007580542649196387
34,-0.00017502450752696712,-0.007754240375979382
35,-0.0010414041156074582,-0.008787569193745903
36,0.00034090652664411875,-0.008449658406793237
37,0.0004860998028249157,-0.007967665981253869
38,0.001972607905148225,-0.0060107751570057655
39,-0.0004711394115324802,-0.006479082655467816
40,-0.0005,-0.006975843114140012
41,-0.0009347547010809206,-0.007904077113076058
42,0.000187587416212932,-0.007717972402266349
43,0.00032158722032568285,-0.007398867183232016
44,-0.000022165881431629,-0.007420869062250923
45,0.0008785832026385143,-0.006548805710519412
46,-0.000467304587149861,-0.00701305001072039
47,0.000799396845312653,-0.006219259375462416
48,0.00044551251561184067,-0.005776517617740229
49,0.000010496418366725462,-0.00576608183211913
50,-0.0002287737734865522,-0.005993536477306716
51,0.0019389448566787888,-0.00406621275735386
52,-0.0006252412892385205,-0.004688911682485641
53,0.000255399818786453,-0.0044347094108931895
54,-0.0005725091195684349,-0.00500467961888118
55,0.0014316642455730246,-0.0035801803941791777
56,0.00072085248911585,-0.0028619086870119714
57,-0.0005157633526156484,-0.0033761959720083334
58,-0.0005,-0.003874507874022326
59,-0.0002763953844056307,-0.004149832362334682
60,-0.0003880582478733307,-0.004536280233532586
61,0.0006191413205212928,-0.003919947511545452
62,0.00032760490974376784,-0.0035936267958524004
63,0.00019042011157807212,-0.0034038909830896857
64,-0.000013116485859709566,-0.0034169628218614356
65,-0.0005,-0.00391525434045048
66,0.0,-0.00391525434045048
67,-0.0004333140435005642,-0.004346871849261413
68,-0.00048628429907554734,-0.004831042332806623
69,0.0013589979321107597,-0.00347860977723613
70,-0.0008095039300099429,-0.00428529775896036
71,-0.0005,-0.004783155110080872
72,-0.0007329630463122919,-0.005512612280452744
73,0.0014110369199796349,-0.00410935385992639
74,-0.000693510614679897,-0.004800014594084967
75,-0.0005,-0.005297614586787902
76,-0.0,-0.005297614586787902
77,-0.00022442464583563484,-0.00552085031734606
78,-0.0010641434184516158,-0.006579118759268199
79,-0.00035797342307791627,-0.006934737032682992
80,-0.0016789579705276283,-0.008602051871196115
81,0.00020995490720838184,-0.008393903006990167
82,-0.00037509937105134004,-0.008765853830302817
83,-0.0005,-0.00926147090338758
84,0.0,-0.00926147090338758
85,-0.0015125438808703802,-0.010760006403115252
86,0.0006497965414837054,-0.010117201676578591
87,-0.0005336797932025977,-0.010645482123682659
88,0.0012860676652009908,-0.009373105268821513
89,0.0006123323246932373,-0.008766512399467241
90,-0.0007760565302335711,-0.009535765620505843
91,-0.0007042471177562866,-0.0102332972028083
92,0.0004984891165521802,-0.009739909273538072
93,-0.00018726118769553577,-0.009925346554255032
94,-0.00011377410778224316,-0.01003799141458861
95,0.0010255942632846383,-0.009022692057713666
96,-0.0005713009553901657,-0.009588838340511052
97,0.00009212632338771302,-0.009497595401545156
98,0.0007744556930506247,-0.008730495175323538
99,-0.0005,-0.00922612992773586
100,-0.0006060883795711128,-0.009826626457169363
101,-0.00020821396633622768,-0.010032794382635157
102,-0.0013527484252582379,-0.011371970961091327
103,-0.0008141019832242538,-0.012176815000203067
104,0.00027154064948361995,-0.01190858085097335
105,-0.00008892297538232166,-0.011996444879913803
106,-0.0005,-0.012490446657473786
107,0.00034136409997840157,-0.012153346347577032
108,-0.0009175640365947607,-0.01305975891063893
109,-0.00016656856467984747,-0.013224152130022038
110,0.00016909595620456715,-0.01305729232446684
111,-0.0005361425748617302,-0.013586434329000974
112,0.001151529421462399,-0.01245055008640128
113,0.000738055802519589,-0.01172168348461744
114,0.00024923638262763987,-0.011475368571979838
115,0.0014384767222062353,-0.01005339890034318
116,-0.0011634499376001603,-0.011205152211620106
117,0.000013896334479659075,-0.011191411587683553
118,0.00030945407649485485,-0.010885420739126128
119,-0.0007022517926759221,-0.011580028225573913
120,0.0002575976606167234,-0.011325413553137986
121,-0.0008538354449837507,-0.012169578958600935
122,0.0005657002294924441,-0.011610763062718132
123,0.0008560556734991397,-0.010764646848812509
124,0.00023517103526488,-0.010532007346691352
125,-0.0014426686255637144,-0.011959481775691838
126,-0.0007434903556952331,-0.012694080372027683
127,0.0004662295537671429,-0.012233769173687792
128,0.000036747603551531716,-0.01219747113183589
129,-0.0021060412444703913,-0.014277823999024442
130,0.001002338008573161,-0.01328979719612533
131,0.00012796682699651307,-0.013163531022307495
132,-0.0006268724178936764,-0.01378215158568119
133,0.0008063398393952715,-0.012986924844181957
134,-0.0005,-0.013480431381759805
135,-0.001023739973220825,-0.01449037089851879
136,0.0003031445333213618,-0.014191619041921233
137,0.0014280390608884244,-0.012783846167361834
138,0.0013034826666157035,-0.011497027022638107
139,0.00030421834915350025,-0.011196306280065627
140,0.0003853589021634464,-0.010815261974198576
