cycle,bar_timestamp,signal_timestamp,execution_timestamp,action,from_position,to_position,price,prob_up,risk_reasons,signal_delay_bars
2,1775677140000,1775677080000,1775677140000,SHORT,0,-1,92466.44243044061,0.04226125600533829,[],1
32,1775678940000,1775678880000,1775678940000,FLAT,-1,0,91977.03439667303,0.5390546614575364,[],1
35,1775679120000,1775679060000,1775679120000,SHORT,0,-1,92044.4286748879,0.3643415001589767,[],1
62,1775680740000,1775680680000,1775680740000,FLAT,-1,0,91777.55418432494,0.11960661095709861,[],1
63,1775680800000,1775680740000,1775680800000,SHORT,0,-1,91742.42094001302,0.3939280293438053,[],1
71,1775681280000,1775681220000,1775681280000,FLAT,-1,0,91767.79001381506,0.27433431129338465,[],1
72,1775681340000,1775681280000,1775681340000,SHORT,0,-1,91737.63654459479,0.1982630054793982,[],1
