cycle,strategy_return,cumulative_return
1,-0.0,0.0
2,0.0,0.0
3,-0.003471895704804596,-0.0034718957048045507
4,-0.0005,-0.003970159756952141
5,-0.0027867042538418435,-0.00674580034971084
6,-0.0005,-0.00724242744953596
7,-0.00009532708104438472,-0.007337064131111903
8,-0.0001698373332682637,-0.007505655356974117
9,0.002440806491924279,-0.005083168717371245
10,0.00038005108386805113,-0.004705049497283675
11,-0.0005,-0.005202696972534948
12,-0.0,-0.005202696972534948
13,-0.0005662332640742548,-0.005765984296520421
14,-0.0005,-0.006263101304372132
15,-0.0,-0.006263101304372132
16,-0.002264643752225207,-0.008513561363358901
17,-0.0005,-0.009009304582677125
18,0.0,-0.009009304582677125
19,-0.0,-0.009009304582677125
20,0.0,-0.009009304582677125
21,-0.0015013460076575087,-0.010497124506867683
22,-0.0005,-0.010991875944614149
23,-0.00016899304537274662,-0.011159011439396682
24,-0.0003201118413381389,-0.011475551149035534
25,0.0011080569260241092,-0.010380209786942207
26,-0.0009645784057673921,-0.011334775666501762
27,-0.001533147418781721,-0.012850545203227925
28,-0.0029467352912506263,-0.01575941333941644
29,-0.001281162652333833,-0.017020385619957112
30,0.0003929964651090268,-0.01663407810623152
31,0.0008092980897544865,-0.015838241944113207
32,0.00045461105798756896,-0.015390831126052551
33,-0.0011092339530729145,-0.016482993046674443
34,-0.0019477720538631676,-0.018398659987317267
35,0.0007836510505724275,-0.017629427065973147
36,0.0006183340188333501,-0.017021993921627288
37,-0.0011425762317555427,-0.018145121227710836
38,0.003275261834907295,-0.014929289415850477
39,-0.003631432373037156,-0.018506507083996482
40,-0.005363834217811226,-0.023771075465858438
41,-0.003584959947362854,-0.027270817059770414
42,0.00143812565112396,-0.025871910270187204
43,-0.0006033071552558869,-0.02645960871685693
44,-0.0005,-0.026946378912498403
45,0.0028337258854331734,-0.024189011678508288
46,0.0005102843454407855,-0.023691070607058773
47,-0.0005,-0.024179225071755184
48,0.0,-0.024179225071755184
49,0.0005161634225186787,-0.02367554208080347
50,-0.0005,-0.024163704309763
51,0.0,-0.024163704309763
