cycle,equity
1,10000.0
2,9994.759024152174
3,9993.016276764842
4,9989.959622962293
5,10000.46067915957
6,10012.43967948776
7,10019.256211135073
8,10026.689177199885
9,10031.58723105858
10,10026.355182795156
11,10027.492648705645
12,10025.736162119516
13,10035.228040282022
14,10038.686560591266
15,10033.827327660676
16,10028.909422610719
17,10034.447995871971
18,10032.965665115653
19,10015.32134665258
20,10015.260276683513
21,10020.54311136887
22,10021.71817447998
23,10020.787916278834
24,10021.784163757933
25,10021.831969694369
26,10033.05337127663
27,10040.479877404738
28,10041.463543598951
29,10042.573683471239
30,10046.863853394101
31,10048.067804779996
32,10043.043770877606
33,10043.043770877606
34,10043.043770877606
35,10034.654336873771
36,10038.746278984652
37,10034.007318042375
38,10030.827770600352
39,10023.763627395012
40,10017.91171296505
41,10013.05083363814
42,10013.62906815234
43,10011.490910183158
44,10002.87560069556
45,10007.827187652789
46,10012.594202612976
47,10010.958703987908
48,10007.473573527086
49,10013.786738873527
50,10014.177894028162
51,10014.721238882554
52,10032.03244146337
53,10033.57203214302
54,10034.618289397187
55,10035.688237996928
56,10024.255374253598
57,10033.678560665267
58,10040.01234541614
59,10060.509511346267
60,10064.129880276247
61,10067.073795434942
62,10062.040258537225
63,10047.999025593965
64,10040.964091687838
65,10040.145651359822
66,10042.8840720706
67,10034.538084346013
68,10034.494019675196
69,10040.777992735706
70,10054.181875326374
71,10049.154784388711
72,10037.936326752322
73,10019.666078326967
74,10018.977982453478
75,10024.833674261228
76,10034.013444555627
77,10029.436445657024
78,10043.207896046762
79,10038.639481260869
80,10031.951599188113
81,10028.292672919988
82,10029.83222579046
83,10025.15419316176
84,10023.59975959311
85,10029.559200873086
86,10014.686125010023
87,10017.267845751654
88,10010.926468379366
89,10029.836297853724
90,10019.516188120324
91,10007.682936967285
92,10007.246905814887
93,10002.628205187577
94,9998.013658958862
95,10002.889490914104
96,9998.364895002169
97,10004.550149910505
98,10009.160364306215
99,10000.045026783393
100,9992.14207428209
101,9997.516766876353
102,10003.109065895902
103,10008.009601782296
104,10002.015158662776
105,10009.713625835182
106,10006.692208472072
107,10000.586174182261
108,10001.083330022704
109,9992.899594218941
110,9995.101836891135
111,9996.590455712947
112,10004.10531084614
113,9995.862835126245
114,10001.714210828632
115,9998.75006636862
116,9999.113411274751
117,10007.226384740368
118,10011.840568230822
119,10000.696507714485
120,9998.903127457033
121,10006.671543323719
122,10004.057365775247
123,10005.012008268073
124,9977.473434946334
125,9975.026181111445
126,9977.82571448744
127,9966.426306215792
128,9980.712084864914
129,9979.76873400803
130,9963.83231919916
131,9964.547671118382
132,9977.983846459525
133,9980.904724993541
134,9969.22953294455
135,9966.067839042144
136,9972.47093638812
137,9977.668647502964
138,9981.879963175674
139,9978.831567393818
140,9968.07682872121
141,9959.586252775325
142,9955.798403730398
143,9966.067481563494
144,9976.317954485059
145,9971.914742243009
146,9982.309251904351
147,9983.888307825775
148,9981.28937462465
149,9990.056073965246
150,9997.936788975903
151,9998.480218469467
152,9994.30114316703
153,9985.716352995965
154,9980.72652028732
155,9979.946109646145
156,9985.6280095748
157,9993.872897664654
158,9997.705741176725
159,9994.267447841059
160,9991.409351090753
161,10007.771085898992
162,10013.780797243902
163,10004.047071012968
164,10003.220903816718
165,10014.212771870536
166,9995.357319985467
167,9995.38594633327
168,9992.150677795646
169,9988.796503808084
170,9991.497113421252
171,9997.038690919737
172,9980.068093238782
173,9971.95566683428
174,9965.278899637618
175,9960.541591209523
176,9968.23434003713
177,9957.969264539026
178,9964.40077969467
179,9961.97119680715
180,9974.665790575178
181,9990.535598448678
182,9987.823298949732
183,9994.00572924612
184,10009.498831858047
185,10005.02276952491
186,9988.051240370694
187,9976.880828369553
188,9978.709234793949
189,9978.439927827809
190,9971.240003122031
191,9962.197164197734
192,9964.70127822809
193,9964.232922321378
194,9961.666944521761
195,9957.10781838976
196,9957.955434774067
197,9958.700932538133
198,9947.639963811966
199,9937.931093761028
200,9933.983417300626
