cycle,bar_timestamp,signal_timestamp,execution_timestamp,action,from_position,to_position,price,prob_up,risk_reasons,signal_delay_bars
114,1775587860000,1775587800000,1775587860000,LONG,0,1,87579.90258154167,0.6486408461305309,[],1
116,1775587980000,1775587920000,1775587980000,FLAT,1,0,87637.86750859079,0.5652184715874686,[],1
117,1775588040000,1775587980000,1775588040000,LONG,0,1,87649.69562377682,0.6603530778051987,[],1
120,1775588220000,1775588160000,1775588220000,FLAT,1,0,87655.32380094263,0.4811063897126215,[],1
123,1775588400000,1775588340000,1775588400000,SHORT,0,-1,87634.53136769339,0.5230680281635915,[],1
124,1775588460000,1775588400000,1775588460000,FLAT,-1,0,87669.53875825685,0.2562315523547993,[],1
125,1775588520000,1775588460000,1775588520000,SHORT,0,-1,87699.53611276954,0.21574516975215002,[],1
138,1775589300000,1775589240000,1775589300000,FLAT,-1,0,87479.49267507586,0.4431809328943116,[],1
140,1775589420000,1775589360000,1775589420000,SHORT,0,-1,87311.81515575213,0.5052832924788205,[],1
141,1775589480000,1775589420000,1775589480000,FLAT,-1,0,87371.49210615648,0.221916913229422,[],1
142,1775589540000,1775589480000,1775589540000,SHORT,0,-1,87472.34681903111,0.569561135160967,[],1
143,1775589600000,1775589540000,1775589600000,FLAT,-1,0,87577.13126921673,0.6139298386541869,[],1
145,1775589720000,1775589660000,1775589720000,LONG,0,1,87608.66134076037,0.6062075735631469,[],1
147,1775589840000,1775589780000,1775589840000,FLAT,1,0,87820.78409883646,0.7998135080507999,[],1
148,1775589900000,1775589840000,1775589900000,LONG,0,1,87901.2225352995,0.46016233377363586,[],1
149,1775589960000,1775589900000,1775589960000,FLAT,1,0,87837.6213582844,0.5030676318078313,[],1
151,1775590080000,1775590020000,1775590080000,SHORT,0,-1,87885.61841932427,0.2976183555876337,[],1
153,1775590200000,1775590140000,1775590200000,FLAT,-1,0,87796.12592826743,0.6465673909996099,[],1
155,1775590320000,1775590260000,1775590320000,SHORT,0,-1,88001.91617501844,0.47914626844527664,[],1
156,1775590380000,1775590320000,1775590380000,FLAT,-1,0,88106.17182816085,0.5484699741154689,[],1
158,1775590500000,1775590440000,1775590500000,LONG,0,1,88117.33207682139,0.8609213768883947,[],1
161,1775590680000,1775590620000,1775590680000,FLAT,1,0,88025.32563673795,0.26324605283035807,[],1
163,1775590800000,1775590740000,1775590800000,LONG,0,1,88212.53697206067,0.6105831968390968,[],1
165,1775590920000,1775590860000,1775590920000,FLAT,1,0,88214.45518037987,0.51268423315781,[],1
167,1775591040000,1775590980000,1775591040000,LONG,0,1,88235.60716618526,0.4843620692675018,[],1
168,1775591100000,1775591040000,1775591100000,FLAT,1,0,88269.45843027734,0.46962762711714384,[],1
170,1775591220000,1775591160000,1775591220000,LONG,0,1,88348.1313395107,0.2328012710456991,[],1
171,1775591280000,1775591220000,1775591280000,FLAT,1,0,88448.37742229052,0.12128685716475911,[],1
173,1775591400000,1775591340000,1775591400000,SHORT,0,-1,88517.1764692827,0.1397600441918863,[],1
182,1775591940000,1775591880000,1775591940000,FLAT,-1,0,88511.31483852891,0.2942311304090016,[],1
183,1775592000000,1775591940000,1775592000000,SHORT,0,-1,88585.71764026009,0.23198785111662015,[],1
188,1775592300000,1775592240000,1775592300000,FLAT,-1,0,88746.11904994374,0.3710312417888219,[],1
189,1775592360000,1775592300000,1775592360000,SHORT,0,-1,88684.9923092496,0.40538243953302655,[],1
193,1775592600000,1775592540000,1775592600000,FLAT,-1,0,88573.54020196178,0.3059019252007916,[],1
194,1775592660000,1775592600000,1775592660000,SHORT,0,-1,88458.66867953721,0.41014667372513824,[],1
199,1775592960000,1775592900000,1775592960000,FLAT,-1,0,88278.50765743789,0.7296736703760615,[],1
