cycle,strategy_return,cumulative_return
1,0.0,0.0
2,-0.0,0.0
3,-0.0027867042538418435,-0.002786704253841865
4,-0.0005,-0.0032853109017149107
5,-0.0,-0.0032853109017149107
6,-0.0006698373332682637,-0.003952947611089885
7,0.002440806491924279,-0.0015217894993568848
8,0.00038005108386805113,-0.0011423167732375061
9,-0.0005,-0.0016417456148508647
10,-0.0,-0.0016417456148508647
11,0.0,-0.0016417456148508647
12,-0.0013392244500842337,-0.002978771399066882
13,-0.0005,-0.0034772820133672777
14,0.0,-0.0034772820133672777
15,0.0,-0.0034772820133672777
16,0.0,-0.0034772820133672777
17,-0.0,-0.0034772820133672777
18,0.0,-0.0034772820133672777
19,0.0,-0.0034772820133672777
20,0.0001394456150041255,-0.003338321290092039
21,-0.0005,-0.003836652129446949
22,0.0,-0.003836652129446949
23,-0.0,-0.003836652129446949
24,-0.0014645784057673921,-0.005295611457355132
25,-0.001533147418781721,-0.006820639923100114
26,-0.0029467352912506263,-0.009747276593980447
27,-0.0005,-0.01024240295568335
28,-0.0001070035348909732,-0.01034831051725238
29,0.0008092980897544865,-0.009547387295431697
30,0.00045461105798756896,-0.00909711658528356
31,-0.0011092339530729145,-0.010196259707765054
32,-0.0019477720538631676,-0.012124171771915493
33,0.0007836510505724275,-0.011350021841289526
34,0.0006183340188333501,-0.010738705927075265
35,-0.0011425762317555427,-0.011869012368678655
36,-0.0005,-0.012363077862494243
37,-0.004131432373037156,-0.01644343301541995
38,-0.005363834217811226,-0.02171906738456486
39,-0.003584959947362854,-0.02522616534526001
40,0.00143812565112396,-0.023824318089598506
41,-0.0006033071552558869,-0.024413251863281915
42,-0.0005,-0.02490104523735026
43,0.0028337258854331734,-0.022137882088380523
44,0.0005102843454407855,-0.021638894357610683
45,-0.0005,-0.022128074910431783
46,0.0,-0.022128074910431783
47,0.0005161634225186787,-0.021623333190792682
48,-0.0005,-0.022112521524197182
49,0.0032512613528634556,-0.01893315375797966
50,-0.0017438818571760641,-0.020644018431818068
51,-0.0005,-0.0211336964226021
52,-0.0,-0.0211336964226021
