cycle,equity
1,10000.0
2,10001.625752425094
3,9996.624939548881
4,9983.690849434257
5,9978.69900400954
6,9978.69900400954
7,9977.747763760868
8,9976.053169688648
9,10000.402785029008
10,10004.203448946575
11,9999.201347222102
12,9999.201347222102
13,9993.539466805129
14,9988.542697071727
15,9988.542697071727
16,9965.922206258969
17,9960.93924515584
18,9960.93924515584
19,9942.876230081303
20,9937.904791966263
21,9937.904791966263
22,9939.29058921183
23,9934.320943917226
24,9934.320943917226
25,9934.320943917226
26,9934.320943917226
27,9914.123004932751
28,9884.908708792316
29,9872.244532932882
30,9876.124290137017
31,9884.117018659203
32,9879.174960149874
33,9863.277056375653
34,9844.065640965735
35,9851.77995334718
36,9857.871644038394
37,9846.608274202219
38,9878.858494485996
39,9842.984087940466
40,9790.187953084198
41,9755.090521395237
42,9769.119567303092
43,9763.225787567588
44,9758.344174673804
45,9785.996647160544
46,9790.990288054125
47,9786.094792910098
48,9786.094792910098
49,9791.146017091498
50,9786.250444082953
51,9786.250444082953
52,9764.291254261694
53,9759.409108634563
54,9759.409108634563
55,9781.787437200524
56,9776.896543481926
57,9776.896543481926
58,9776.063099451185
59,9755.390099177688
60,9750.5124041281
61,9769.465856981371
62,9776.286033006172
63,9737.402548724296
64,9736.489120150472
65,9735.662270091569
66,9736.794676213973
67,9731.926278875866
68,9764.527904513097
69,9762.168252677726
70,9757.287168551387
71,9757.287168551387
72,9756.826526561657
73,9776.236811909941
74,9771.348693503987
75,9771.348693503987
76,9766.855873578685
77,9761.972445641895
78,9758.620848677452
79,9753.741538253114
80,9736.658236802861
81,9731.78990768446
82,9722.11541643354
83,9717.581425213784
84,9715.040895701597
85,9718.526117910544
86,9721.0786562282
87,9716.218116900085
88,9716.218116900085
89,9707.698096182537
90,9702.844247134446
91,9702.844247134446
92,9702.844247134446
93,9692.013917154392
94,9687.167910195816
95,9687.167910195816
96,9687.167910195816
97,9668.154922758382
98,9663.320845297003
99,9663.320845297003
100,9671.242906816597
101,9657.920505183112
102,9653.091544930521
103,9658.835374394477
104,9665.265098826583
105,9660.43246627717
106,9651.327183788615
107,9646.501520196722
108,9646.501520196722
109,9646.501520196722
110,9633.51442019919
111,9628.69766298909
112,9628.69766298909
113,9619.894000946926
114,9615.084053946453
115,9615.084053946453
116,9611.56136064429
117,9606.755579963969
118,9606.755579963969
119,9591.754477150893
120,9604.511976819296
121,9596.239791845248
122,9608.024256141241
123,9603.220244013171
124,9595.509074908168
125,9599.821839036998
126,9597.838160496129
127,9590.068779116078
128,9587.330151891672
129,9596.008036811749
130,9582.723317883723
131,9585.6442580211
132,9629.603354050041
133,9624.788552373017
134,9613.186020644604
135,9614.500974350438
136,9608.304180510075
137,9607.242977172067
138,9614.593126957257
139,9609.78583039378
140,9605.504352988044
141,9598.460825668191
142,9593.661595255358
143,9593.661595255358
144,9586.972582467382
145,9582.179096176149
146,9582.179096176149
147,9586.98230573569
148,9591.104083047812
149,9581.279508015954
150,9571.219373719872
151,9566.433764033012
152,9559.720141165282
153,9548.499904443317
154,9513.684058125235
155,9502.744996312023
156,9499.888276807651
157,9493.63722894194
158,9484.091803719008
159,9484.771330839007
160,9509.725649440143
161,9518.732894761859
162,9526.552852116374
163,9521.789575690316
164,9521.789575690316
165,9521.789575690316
166,9521.789575690316
167,9521.789575690316
168,9506.85812307498
169,9515.067039840924
170,9510.309506321004
171,9499.332863211981
172,9494.583196780375
173,9494.583196780375
174,9498.180794263819
175,9501.893147599474
176,9497.142201025676
177,9482.639598614956
178,9492.24030090388
179,9487.494180753429
180,9487.494180753429
181,9490.589386248283
182,9485.844091555158
