cycle,equity
1,10000.0
2,9991.677580370368
3,9988.927134767115
4,9991.221713803732
5,9999.713451550964
6,9994.713594825189
7,9994.713594825189
8,9994.713594825189
9,9983.275972418996
10,9994.283370197318
11,10005.401174420664
12,10000.398473833455
13,10000.398473833455
14,10000.398473833455
15,9992.422366900597
16,9983.541600926672
17,9980.214285071403
18,9978.369439941973
19,9968.707834009912
20,9964.808463467994
21,9964.073035846968
22,9952.21314146585
23,9951.108455185811
24,9953.30172710719
25,9959.688506153294
26,9953.956150849692
27,9944.024418229259
28,9939.052406020144
29,9923.609024803223
30,9918.647220290823
31,9913.924038670104
32,9908.96707665077
33,9908.96707665077
34,9908.96707665077
35,9908.96707665077
36,9907.0057123522
37,9902.052209496025
38,9902.052209496025
39,9902.052209496025
40,9904.993882184008
41,9900.271645174895
42,9893.988834494032
43,9889.041840076785
44,9889.041840076785
45,9879.859723720205
46,9874.919793858346
47,9871.652852723753
48,9866.717026297392
49,9866.717026297392
50,9866.717026297392
51,9866.717026297392
52,9866.717026297392
53,9866.717026297392
54,9859.875969638573
55,9857.851228424519
56,9852.922302810308
57,9852.999730101481
58,9848.07323023643
59,9840.518984042126
60,9835.598724550106
61,9835.598724550106
62,9824.45861970199
63,9821.72060602948
64,9823.507558229097
65,9826.085387570754
66,9836.500678658527
67,9831.582428319198
68,9831.582428319198
69,9818.137138212598
70,9821.74635891101
71,9816.835485731555
72,9816.835485731555
73,9809.532265846105
74,9804.627499713182
75,9801.89067639749
76,9807.038848844639
77,9802.135329420216
78,9802.293236203966
79,9794.259792538705
80,9789.362662642436
81,9789.294776681003
82,9784.400129292662
83,9777.354815505443
84,9772.46613809769
85,9772.46613809769
86,9750.084477282991
87,9738.869997853939
88,9741.041007042904
89,9743.293281239423
90,9739.482319880279
91,9734.61257872034
92,9720.57710734177
93,9717.605418706868
94,9715.44201428132
95,9710.58429327418
96,9692.309073879636
97,9690.806119013165
98,9691.477686951064
99,9679.725576885543
100,9672.13016219355
101,9667.294097112455
102,9662.227491624775
103,9660.542726471744
104,9657.587769345515
105,9667.739449204455
106,9679.319901120656
107,9685.909642736342
108,9681.066687914974
109,9681.066687914974
110,9671.176922880564
111,9666.341334419125
112,9659.814938986196
113,9654.985031516702
114,9654.985031516702
115,9654.985031516702
116,9654.889761122493
117,9649.557744248283
118,9644.732965376159
119,9656.872157979045
120,9652.043721900056
121,9652.043721900056
122,9648.349550917685
123,9643.525376142226
124,9643.525376142226
125,9643.525376142226
126,9649.501426792242
127,9644.676676078845
128,9644.676676078845
129,9638.788064872619
130,9633.968670840182
131,9627.997213815355
132,9623.183215208448
133,9625.328201531942
134,9620.515537431176
135,9620.515537431176
136,9619.628343809409
137,9615.08723461772
138,9610.279691000413
139,9598.706576115048
140,9593.90722282699
141,9593.90722282699
142,9589.664298988764
143,9587.61666800472
144,9579.366120150824
145,9584.108062991318
146,9588.673248386676
147,9583.878911762484
148,9575.750521791138
149,9570.962646530243
150,9566.551022916517
151,9567.07008062925
152,9562.286545588935
153,9558.972902279645
154,9559.969670400646
155,9555.189685565445
156,9539.52662087485
157,9534.756857564415
158,9534.756857564415
159,9534.756857564415
160,9526.558307240897
161,9521.795028087277
162,9521.795028087277
163,9508.507688880507
164,9503.753435036067
165,9498.226906103113
166,9500.817520042245
167,9492.922008570962
168,9492.88032229902
169,9498.825116734593
170,9494.075704176226
171,9492.44827201016
172,9487.702047874156
173,9487.702047874156
174,9483.609760343154
175,9478.867955462982
176,9478.867955462982
177,9478.452291672711
178,9473.713065526876
179,9473.285574218236
180,9468.548931431127
181,9468.548931431127
182,9468.548931431127
183,9468.548931431127
184,9468.548931431127
185,9469.444097756821
186,9455.401630124275
187,9457.83917097221
188,9451.85193690469
189,9447.126010936237
190,9432.681912699403
191,9421.541724687926
192,9416.830953825583
193,9407.776335697426
194,9403.436214489286
195,9408.022082877513
196,9403.766562680648
197,9399.06467939931
198,9399.06467939931
199,9399.06467939931
200,9399.06467939931
