cycle,strategy_return,cumulative_return
1,0.0,0.0
2,-0.0008322419629632844,-0.000832241962963276
3,-0.0002752736546118606,-0.0011072865232885087
4,0.00022971226095248732,-0.0008778286196268192
5,0.0008499198586995132,-0.00002865484490366388
6,-0.0005,-0.0005286405174811382
7,0.0,-0.0005286405174811382
8,0.0,-0.0005286405174811382
9,-0.001144367199487786,-0.001672402758100322
10,0.0011025837419230715,-0.0005716629802681172
11,0.0011124163495803627,0.0005401174420665011
12,-0.0005,0.00003984738334561477
13,-0.0,0.00003984738334561477
14,0.0,0.00003984738334561477
15,-0.0007975789118530388,-0.0007577633099400405
16,-0.0008887500595793359,-0.0016458399073324692
17,-0.0003332801112342945,-0.0019785714928594045
18,-0.00018485025238279266,-0.002163056005802355
19,-0.0009682549829621099,-0.003129216599008444
20,-0.00039116108194232413,-0.0035191536532003242
21,-0.00007380248438511807,-0.0035926964153029095
22,-0.0011902657014305775,-0.004778685853414677
23,-0.00011099905763030463,-0.004889154481418578
24,0.0002204047851810376,-0.004669827289280781
25,0.0006416744132965397,-0.004031149384670418
26,-0.000575555681290804,-0.004604384915030679
27,-0.000997767367056802,-0.005597558177073858
28,-0.0005,-0.0060947593979853165
29,-0.0015538082088757757,-0.007639097519677396
30,-0.0005,-0.00813527797091751
31,-0.00047619211731379205,-0.008607596132989337
32,-0.0005,-0.009103292334922797
33,-0.0,-0.009103292334922797
34,0.0,-0.009103292334922797
35,-0.0,-0.009103292334922797
36,-0.0001979383202505028,-0.009299428764779738
37,-0.0005,-0.009794779050397273
38,-0.0,-0.009794779050397273
39,-0.0,-0.009794779050397273
40,0.0002970770730900507,-0.009500611781599
41,-0.00047675314748119697,-0.009972835482510267
42,-0.0006346099284988115,-0.01060111655059659
43,-0.0005,-0.011095815992321234
44,0.0,-0.011095815992321234
45,-0.0009285142590223242,-0.012014027627979207
46,-0.0005,-0.012508020614165116
47,-0.0003308321690495452,-0.012834714727624319
48,-0.0005,-0.013328297370260422
49,-0.0,-0.013328297370260422
50,-0.0,-0.013328297370260422
51,-0.0,-0.013328297370260422
52,-0.0,-0.013328297370260422
53,-0.0,-0.013328297370260422
54,-0.0006933467981889182,-0.014012403036142373
55,-0.0002053515906577746,-0.014214877157547767
56,-0.0005,-0.014707769718968922
57,7.85830729124607e-6,-0.014700026989851622
58,-0.0005,-0.015192676976356623
59,-0.00076707859676645,-0.015948101595786968
60,-0.0005,-0.016440127544989025
61,0.0,-0.016440127544989025
62,-0.0011326310842987128,-0.017554138029800437
63,-0.0002786935930516336,-0.01782793939705163
64,0.00018193881411383397,-0.017649244177089907
65,0.000262414349088445,-0.017391461242924233
66,0.0010599634215419597,-0.016349932134146927
67,-0.0005,-0.016841757168079785
68,-0.0,-0.016841757168079785
69,-0.0013675611433486708,-0.01818628617873974
70,0.0003676074847605192,-0.017825364108898567
71,-0.0005,-0.018316451426844016
72,-0.0,-0.018316451426844016
73,-0.0007439484848315503,-0.019046773415389073
74,-0.0005,-0.01953725002868134
75,-0.000279135879029885,-0.019810932360250555
76,0.0005252223899563944,-0.01929611511553575
77,-0.0005,-0.01978646705797793
78,0.000016109427022117798,-0.019770676379602947
79,-0.0008195473724036886,-0.020574020746129018
80,-0.0005,-0.021063733735755874
81,-6.934666103602721e-6,-0.0210705223318991
82,-0.0005,-0.021559987070733144
83,-0.0007200557718532545,-0.022264518449455095
84,-0.0005,-0.022753386190230263
85,0.0,-0.022753386190230263
86,-0.002290277653400519,-0.024991552271700135
87,-0.0011501930527044566,-0.026113000214605386
