cycle,bar_timestamp,signal_timestamp,execution_timestamp,action,from_position,to_position,price,prob_up,risk_reasons,signal_delay_bars
122,1775678340000,1775678280000,1775678340000,SHORT,0,-1,92229.86866107605,0.6596713780389758,[],1
123,1775678400000,1775678340000,1775678400000,FLAT,-1,0,92219.05328757766,0.627476471550449,[],1
126,1775678580000,1775678520000,1775678580000,SHORT,0,-1,92218.0044568003,0.5360236051791079,[],1
127,1775678640000,1775678580000,1775678640000,FLAT,-1,0,92114.74835908746,0.7233400345307086,[],1
129,1775678760000,1775678700000,1775678760000,LONG,0,1,92037.54684947,0.6286944111962717,[],1
130,1775678820000,1775678760000,1775678820000,FLAT,1,0,92027.37158467305,0.7671574187868404,[],1
131,1775678880000,1775678820000,1775678880000,LONG,0,1,91988.05765239865,0.7070121934382188,[],1
132,1775678940000,1775678880000,1775678940000,FLAT,1,0,91977.03439667303,0.8164497051227175,[],1
133,1775679000000,1775678940000,1775679000000,LONG,0,1,91983.3076039899,0.1860876392170241,[],1
134,1775679060000,1775679000000,1775679060000,FLAT,1,0,92049.80213427132,0.3807899400359154,[],1
136,1775679180000,1775679120000,1775679180000,SHORT,0,-1,92075.295566822,0.11586113975250828,[],1
138,1775679300000,1775679240000,1775679300000,FLAT,-1,0,92081.19698901511,0.43803670618019863,[],1
139,1775679360000,1775679300000,1775679360000,SHORT,0,-1,92110.37541445022,0.5516799874041824,[],1
140,1775679420000,1775679360000,1775679420000,FLAT,-1,0,92175.24352877797,0.7060662314322718,[],1
142,1775679540000,1775679480000,1775679540000,SHORT,0,-1,92273.80708891302,0.16704438081661865,[],1
147,1775679840000,1775679780000,1775679840000,FLAT,-1,0,92277.8988987468,0.33733759151930165,[],1
148,1775679900000,1775679840000,1775679900000,SHORT,0,-1,92292.97195311404,0.5459088965997058,[],1
149,1775679960000,1775679900000,1775679960000,FLAT,-1,0,92325.10204748207,0.13746400883002088,[],1
150,1775680020000,1775679960000,1775680020000,SHORT,0,-1,92266.85921220797,0.3742004610893206,[],1
152,1775680140000,1775680080000,1775680140000,FLAT,-1,0,92258.24913625639,0.3552931151960021,[],1
153,1775680200000,1775680140000,1775680200000,SHORT,0,-1,92098.77377968347,0.344706916407791,[],1
155,1775680320000,1775680260000,1775680320000,FLAT,-1,0,92075.03742776623,0.4779612969811272,[],1
156,1775680380000,1775680320000,1775680380000,SHORT,0,-1,92065.21985877398,0.6896863677574047,[],1
157,1775680440000,1775680380000,1775680440000,FLAT,-1,0,92170.10246265559,0.6390082090732027,[],1
160,1775680620000,1775680560000,1775680620000,LONG,0,1,91837.45697975782,0.6282952435541013,[],1
161,1775680680000,1775680620000,1775680680000,FLAT,1,0,91804.40840746801,0.6472039225438365,[],1
163,1775680800000,1775680740000,1775680800000,SHORT,0,-1,91742.42094001302,0.8232837977444604,[],1
164,1775680860000,1775680800000,1775680860000,FLAT,-1,0,91824.57313931863,0.3145062110525037,[],1
165,1775680920000,1775680860000,1775680920000,SHORT,0,-1,91888.86253677457,0.12409032000488394,[],1
170,1775681220000,1775681160000,1775681220000,FLAT,-1,0,91890.45868753151,0.44281111809134777,[],1
171,1775681280000,1775681220000,1775681280000,SHORT,0,-1,91767.79001381506,0.6152948783734901,[],1
172,1775681340000,1775681280000,1775681340000,FLAT,-1,0,91737.63654459479,0.6914676107639054,[],1
174,1775681460000,1775681400000,1775681460000,LONG,0,1,91961.25622123081,0.3413828426198802,[],1
175,1775681520000,1775681460000,1775681520000,FLAT,1,0,91967.57161741587,0.5977775275226701,[],1
177,1775681640000,1775681580000,1775681640000,LONG,0,1,91829.6544899258,0.6845293359339114,[],1
178,1775681700000,1775681640000,1775681700000,FLAT,1,0,91871.54243733408,0.8935388045814434,[],1
179,1775681760000,1775681700000,1775681760000,LONG,0,1,91745.3933365586,0.4585108772655569,[],1
180,1775681820000,1775681760000,1775681820000,FLAT,1,0,91787.12611913112,0.6389123788451079,[],1
185,1775682120000,1775682060000,1775682120000,SHORT,0,-1,91924.7689832753,0.28557530699139255,[],1
189,1775682360000,1775682300000,1775682360000,FLAT,-1,0,92040.86282602957,0.31275816953757857,[],1
190,1775682420000,1775682360000,1775682420000,SHORT,0,-1,91867.00508906481,0.19025416631095113,[],1
192,1775682540000,1775682480000,1775682540000,FLAT,-1,0,92070.13924343657,0.2264344688559972,[],1
193,1775682600000,1775682540000,1775682600000,SHORT,0,-1,92074.15070634648,0.18697603280563016,[],1
197,1775682840000,1775682780000,1775682840000,FLAT,-1,0,92155.8644238476,0.5399259013067076,[],1
